ID	words	meaning	lx
12188	telltale	a. 泄密的	 I can see from the telltale look in her eyes that she love him./r/n     我从她那无法掩饰的眼神里可以看出她爱他。/r/n
12189	telly	n. 电视	
12190	temblor	n. 地震	
12191	temerarious	a. 鲁莽的	
12192	temper	n. 脾气,调剂,趋向<br>\nv. 锻练,调剂,缓和	 They are of congenial temper./r/n     他们的性情相投。/r/n\n She coaxed him out of his bad temper./r/n     她循循善诱地劝他改掉坏脾气。/r/n
12193	tempera	n. 涂料混上蛋白或其他物质的画法	
12194	temperance	a. 温暖的,温和的,有节制的	 The patient had to practice temperance in eating and drinking./r/n     这个病人不得不节制饮食。/r/n\n I would like some temperance drinks./r/n     我想要一些没有酒精的饮料。/r/n
12195	temperate	a. 温和的,适度的,有节制的	 Be more temperate in your language, please./r/n     言词上请节制一点儿。/r/n\n Britain has a temperate climate./r/n     英国气候温和。/r/n
12196	temperature	n. 温度	 The food should be kept at low temperature./r/n     这种食品应低温保存。/r/n\n There is an imperceptible change in temperature./r/n     温度有细微的变化。/r/n
12197	tempest	n. 暴风雨,骚动	 It was a marvelous night with a tempest to rouse the gods./r/n     真是个美妙的夜晚，暴风雨惊天动地。/r/n\n The scandal caused tempests in the newspaper./r/n     那件丑闻在报纸上引起阵阵风波。/r/n
12198	tempestuous	a. 有暴风雨的,暴乱的	 Their ship was sailing dangerously in the tempestuous sea./r/n     他们的船在浪急风高的海上危险地航行着。/r/n
12199	template	模板,样板	 Save the active document or template with its current name./r/n     以其目前的名字保存当前的文件或模板。/r/n
12200	temple	n. 庙宇,寺院<br>\nn.太阳穴	 Have you been to the Temple of Heaven in Beijing?/r/n     你去过北京的天坛吗？/r/n\n The man looks like a cartoon character with a plaster on his temple./r/n     那人太阳穴上贴了一块膏药，看上去像个卡通人物。/r/n
12201	tempo	n. 拍子,速率	 Your tempo is too slow./r/n     你演奏的速度太慢了./r/n\n All this was comparatively slow until, with the coming of science, the tempo was suddenly raised./r/n     所有这些发展都比较缓慢，直到出现了科学，其速度才突然加快。/r/n
12202	temporal	a. 当时的,暂时的,现世的	 The Pope has no temporal power in modern society./r/n     教皇在当代社会没有世俗方面的权利。/r/n\n The word is a temporal conjunction./r/n     该词是表示时间的连词。/r/n
12203	temporarily	a. 临时的<br>\nad. 暂时地,临时地	 The daily flight to the city has been temporarily suspended because of the earthquake./r/n     因为地震，每天飞往这个城市的航班暂停了。/r/n\n The condition of being temporarily set aside; suspension./r/n     中止，搁置，保留暂时地搁置一边的状态；延缓/r/n
12204	temporary	a. 暂时的,临时的<br>\nn. 临时工	 The boss hired some temporary workers./r/n     老板雇佣了一些临时工。/r/n\n A temporary stop; a pause./r/n     停顿暂时的停顿；暂停/r/n
12205	temporize	vt. 投机(因循,拖延,应付,妥协,迎合潮流)	 He is always temporize and be dislike by his classmate./r/n     他总是见风使舵，因而不受同学喜欢。/r/n
12206	tempt	v. 诱惑,引起,冒...之险	 He was tempted into making a false step./r/n     他被引诱做了一件傻事。/r/n\n They tried to tempt her (into staying) with offers of promotion./r/n     他们提出给她晋级来劝说她（留下）./r/n
12207	temptation	n. 诱惑,引诱<br>\nv. 引,诱	 He was surrounded by temptations./r/n     他受到各种诱惑的包围。/r/n\n I should congratulate you that you resisted the temptation./r/n     我应向你祝贺，你抗住了这种引诱。/r/n
12208	tempting	a. 诱惑人的<br>\nvbl. 诱惑	 Eve tempted Adam and he fell./r/n     夏娃诱惑亚当, 结果他犯了罪./r/n\n The Devil tempted Adam and Eve./r/n     魔鬼诱惑了亚当和夏娃./r/n
12209	temptingly	ad. 迷人地,诱惑地	
12210	ten	a. 十,十个	 I got up at ten last Sunday./r/n     上星期天我十点钟起床。/r/n\n Ten to one it will rain tomorrow./r/n     明天十有八九会下雨。/r/n
12211	Ten Commandments	十戒	
12212	tenable	a. 站得住脚的,无懈可击的	 The lectureship is tenable for a period of three years./r/n     讲师这一职位任期三年./r/n\n How long is the post tenable for?/r/n     这个职位任期多长？/r/n
12213	tenacious	a. 紧粘不放的,固执的,不屈不挠的	 The eagle seized its prey in a tenacious grip./r/n     鹰将捕获物紧紧抓住./r/n\n He hold on to my arm with a tenacious grip./r/n     他紧紧抓住我的手臂不放。/r/n
12214	tenaciously	ad. 坚韧不拔地,执着地	
12215	tenacity	n. 固执,不屈不挠,顽固	
12216	tenancy	n. 租用(占有)	
12217	tenant	n. 房客,佃户	 The tenant was evicted for non-payment of rent./r/n     这个房客因为没有交房租而被赶出去了。/r/n\n Are you an owner-occupier or a tenant?/r/n     你住自己的房子还是租房住？/r/n
12218	tend	v. 有某种的倾向,易于,移向	 Weeds tend to displace other plants./r/n     杂草越来越多，有取代其他植物之势。/r/n\n Does he tend to lose?/r/n     他常常输吗?/r/n
12219	tendency	n. 趋势,倾向	
12220	tendentious	a. 有支持某种立场的倾向,宣传性的	 Such tendentious statements are likely to provoke strong opposition./r/n     这种有倾向性 的说法可能招致强烈的反对./r/n
12221	tenderfoot	n. 生手,新手	
12222	tenderness	n. 柔软,亲切,柔和	 Her tenderness soothed my anger./r/n     她的亲切平息了我的怒气。/r/n\n I dare not touch the flower for its tenderness./r/n     这花太娇嫩了，我不敢碰它。/r/n
12223	tendon	n. 腱	
12224	tenebrous	a. 黑暗的	
12225	tenement	n. 房屋,住户,租户	 He lives in a tenement block./r/n     他住在一家廉价公寓楼里。/r/n
12226	tenet	n.  教义, 信条; 原则, 宗旨.	 One who believes in and follows the tenets of naturalism./r/n     自然主义者信仰和追随自然主义信条的人/r/n
12227	Tennessee	n. 田纳西州	 Finn claims they still miss the hills and streams of Tennessee. But Las Vegas is where the action is and his wife accepted his way of life./r/n     芬恩声称他们仍然怀念田纳西州的山山水水，拉斯维加斯却是热闹的娱乐中心。他的妻子也这样认为。/r/n
12228	tennis	n. 网球	 Do you play tennis?/r/n     你打网球吗？/r/n\n They were adversaries in the tennis match./r/n     在网球赛中，他们是对手。/r/n
12229	tenon	n. 凸榫,榫舌	
12230	tenor	n. 行程,路程,要旨<br>\na. 男高音的<br>\nn.[语]本体	 I understood the tenor of their conversation but not the details./r/n     我听懂了他们谈话的大意，但没有听懂其中的细节。/r/n\n The tenor soloist is unable to appear tonight because of illness./r/n     男高音独唱者因病今晚不能演出./r/n
12231	tenseness	n. 绷紧,紧张	
12232	tension	n. 紧张,张力,拉力	 Tension mounted as we waited for the exam results to be published./r/n     我们在等待公布考试结果时气氛越来越紧张。/r/n\n This wire will take 50 pounds tension before breaking./r/n     这根金属线在断裂之前能承受五十磅的张力。/r/n
12233	tent	n. 帐篷<br>\nv. (住)帐篷,宿营	 There are rows of tents at the foot of the mountain./r/n     山脚下有几排帐篷。/r/n\n The tent flaps should be tightly fastened./r/n     帐篷的帘布应紧紧系住./r/n
12234	tentacle	n. (动物)触角	
12235	tentative	n. 试验,假设<br>\na. 试验性质的,暂时的,犹豫不决的	 Could is used to make more tentative suggestions./r/n     可用以提出较试探性的建议。/r/n
12236	tentatively	ad. 试验的	 Tentatively it can be suggested that this is the main influence upon those who urge the abolition of capital punishment./r/n     可以这样探讨性地提出，那些竭力主张废除死刑的人们主要是受怜悯的影响。/r/n
12237	tenuous	a. 稀薄的,微细的<br>\n贫乏的;平淡的;脆弱的,无力的	 Sheer, light, delicate, or tenuous./r/n     轻而薄的；薄弱的；虚无漂缈的/r/n
12238	tenure	n. 享有,保有时间	 The rank, appointment, authority, or tenure of a general./r/n     将军的任职或任期一个将军的官衔、委任权力或保存权/r/n\n The tenure by which such an estate is held./r/n     不动产的终身保有权保有这种不动产的权利/r/n
12239	tepee	n. 美国印地安人的圆锥形帐篷	
12240	tepid	a. 微温的	
12241	tergiversation	n. 变节,规避	
12242	termagant	n. 悍妇,泼妇	
12243	terminable	a. 可终止的	
12244	terminal	n. 终端机,终点,末端<br>\na. 终点的,按期的,致死的	 Please wait for me at the bus terminal./r/n     请在公共汽车终点站等我。/r/n\n That terminal is live./r/n     那个接头有电./r/n
12245	terminally	ad. 晚期地,致命地	
12246	terminate	a. 有结尾的,有限的<br>\nv. 结束,终止,满期	 The next train terminates here./r/n     这是下一班火车的终点站。/r/n\n Your contract has been terminated./r/n     你的合同已经被终止。/r/n
12247	terminating	使终结	 A limb terminating in such a structure./r/n     末端有这种构造的肢体/r/n
12248	terminator	端子	
12249	terminology	n. 用辞,术语	
12250	terminus	n. 终点,终站,终点	
12251	termitarium	n. (=termitary)白蚁窝	
12252	termite	n. 白蚁	
12253	terms	n. (复)措辞	 The company has to fulfill the terms of its obligation./r/n     这个公司必须履行合同条款。/r/n\n The terms of the contract are subject to review./r/n     合同的条款有待复查决定./r/n
12254	tern	n. 三个一套<br>\na. 三个一套的	 I want to complain in the strong tern about the delay./r/n     我要以最强烈的措词抗议这次耽误。/r/n
12255	ternary	三进制的	
12256	terpsichorean	a. 舞蹈的	
12257	terra cotta	a. 赤褐色的<br>\nn. 赤土制成的陶器	
12258	terrace	n. 平台,阳台,梯田<br>\nv. 使成阶地,使成梯田<br>\nvt. 使成梯田	 In China hill farmers grow rice on terraces./r/n     在中国，山区农民在梯田上种水稻。/r/n\n He walked out onto the terrace./r/n     他漫步走到外面的平台上。/r/n
12259	terraced	a. (房屋)沿斜坡建造的	
12260	terrain	n. 地带,地域,地形	 The commander made a detailed study of the terrain./r/n     司令员对地形作了仔细研究。/r/n\n Bumped along slowly over the rocky terrain./r/n     在多石地带缓慢地颠簸前进/r/n
12261	terramycin	n. 土霉素	
12262	terrapin	n. 食用龟	
12263	terrarium	n. 陆地动物饲养所,玻璃容器	
12264	terrestrial	n. 地球上的人<br>\na. 地球的,地上的	 Although they can swim, the polar bears are terrestrial animals./r/n     北极熊虽然会游泳，但也是陆栖动物。/r/n\n A terrestrial globe is one that represents the earth./r/n     地球仪是表现地球的器具。/r/n
12265	terrier	n. 一种活泼的小狗	 I have a fox terrier./r/n     我养了一只猎狐狗。/r/n
12266	terrific	a. 极好的,非常的,极度的	 The view was terrific./r/n     景色美极了。/r/n\n He is driving at a terrific speed./r/n     他以极高的速度驾驶。/r/n
12267	terrified	a. 恐惧的, 受惊吓的	 Causing great horror; terrifying./r/n     让人恐惧的；令人毛骨悚然的/r/n\n It terrified me to contemplate the consequence of your action./r/n     想到你行动的后果，我就感到害怕。/r/n
12268	terrify	v. 使恐怖	 It terrified me to contemplate the consequence of your action./r/n     想到你行动的后果，我就感到害怕。/r/n\n Rats terrify me./r/n     老鼠使我害怕。/r/n
12269	terrifying	a. 极大的	 The most terrifying aspect of nuclear bombing is radiation./r/n     核弹轰炸最可怕的一面是辐射。/r/n\n The tidal wave formed a terrifying wall of water./r/n     海啸形成一堵骇人的水墙./r/n
12270	territorial	a. 领土的,土地的,地方的<br>\nn. 地方自卫队的士兵	
12271	territory	n. 领土,版图,领域,范围	 How much territory does he travel over?/r/n     他旅行的地方有多大？/r/n\n They ceded territory to a neighboring state./r/n     他们把领土割让给邻国。/r/n
12272	terror	n. 恐怖	 I have a terror of worms./r/n     我害怕爬虫。/r/n\n The resistance movement started a campaign of terror against the colonial rulers./r/n     抵抗运动开展了一场反对殖民统治者的恐怖活动。/r/n
12273	terrorism	n. 恐怖统治,恐怖行动	 The government is determined to combat international terrorism./r/n     政府决定同国际恐怖主义作斗争。/r/n\n International terrorism is not just a recent phenomenon./r/n     国际恐怖主义并不是近年才有的现象。/r/n
12274	terry	n. 厚绒布	 Terry has been going out with Sharon for six weeks./r/n     特里和沙伦相恋有六个星期了。/r/n\n Terry made it with Sharon on the back seat of his car./r/n     特里在他的汽车後排座位上和沙伦发生关系了./r/n
12275	terse	a. 简洁的,简明的	 A terse, witty, instructive saying; a maxim./r/n     格言，箴言，警句简洁、机智、有教导性的话；警句/r/n
12276	tertiary	a. 第三的,第三位的,第三世纪的<br>\nn. 臂翼,第三重音,第三会员	
12277	Tess	n. 泰丝(Theresa的昵称)(f.)	
12278	tessellation	n. 镶嵌装饰,棋盘形布置,镶嵌式铺装	
12279	test	n. 测试,试验<br>\nv. 测试,试验,接受测验	 The new aircraft is undergoing safety tests./r/n     这种新飞机正在接受安全性能检验。/r/n\n Listening to his continuous stream of empty chatter really tested my patience./r/n     听他那没完没了的连篇空话对我的耐心真是一大考验。/r/n
12280	test paper	n. [化]试纸	 He is answering the test paper busily./r/n     他正忙着答考试卷。/r/n\n He erased pencil marks form the test paper and handed to the teacher./r/n     他擦去试卷上的铅笔笔迹然后递给了老师。/r/n
12281	test tube	试管	 He held the test tube in his hand thoughtfully./r/n     他沉思地把试管拿在手里。/r/n\n He demonstrated the principles with chemicals and test tubes./r/n     他借助化学药品和试管讲解了这些原理。/r/n
12282	testable	a. 可试验的	
12283	testator	n. 立遗嘱之人	 One that makes a will; a testator./r/n     遗赠人，立遗嘱者设立遗嘱的人；立遗嘱者/r/n\n A will needs the signature of the testator and two witness./r/n     一份遗嘱需要立遗嘱人和两个证人的签字。/r/n
12284	test-drive	v. 试开	
12285	testify	v. 证明,作证	 All kinds of human experience testify to the close link between love and fear./r/n     人类的种种经验都证明了爱与怕之间的紧密联系。/r/n\n He agreed to testify on behalf of the accused man./r/n     他同意为被告作证。/r/n
12286	testimonial	n. 证明书,奖状	
12287	testimony	n. 证言,证据	 Several men were called for testimony./r/n     好几个人被传来作证。/r/n\n The witness is giving false testimony./r/n     那个证人在作伪证。/r/n
12288	testing	n. 测试<br>\na. 吃力的,试验的<br>\nvbl. 尝试,测验	 We are testing the efficacy of a new drug./r/n     我们正在测试新药的功效。/r/n\n Imitation or representation, as of a potential situation or in experimental testing./r/n     模拟模仿或演习可能发生的情况或在试验性的测试中进行模仿和演习/r/n
12289	testosterone	n. 男性荷尔蒙的一种	
12290	test-tube	n. 试管	
12291	testy	a. 易怒的,暴躁的	
12292	tetanus	n. 破伤风	 German physiologist. He won a1901 Nobel Prize for work on serum immunization against diphtheria and tetanus./r/n     贝林，埃米尔·冯1854－1917德国生理学家，因其在抗白喉与破伤风血清免疫方面的工作获1901年诺贝尔奖/r/n
12293	tether	n. 系绳,系链,界限<br>\nv. 练栓,拘束	 He tethered his horse to a tree./r/n     他用绳子把马拴在树上。/r/n\n The animals were fastened by tether./r/n     那群牲畜被绳子拴着。/r/n
12294	tetrad	四位组	
12295	tetrahedron	n. 四面体	
12296	tetrahydrocannabinol	n. [化]四氢大麻醇,四氢大麻酚(大麻树脂的主要成分,麻醉用)	
12297	Texas	n. 德克萨斯州,(美国州名)	
12298	textbook	n. 课本,教科书	 Our textbook is very well illustrated./r/n     我们的课本插图丰富。/r/n\n This is the standard textbook on the subject./r/n     这是这一科的权威性课本./r/n
12299	textile	a. 纺织的<br>\nn. 纺织品	 Their main exports are textiles, especially silk and cotton./r/n     他们的主要出口货物是纺织品，特别是丝绸和棉布。/r/n\n I got a job in a textile factory./r/n     我在一家纺织厂找到一份工作。/r/n
12300	textual	a. 本文的,原文的	 Textual analysis identified the author as Shakespeare./r/n     对原文的分析研究鉴定出作者是莎士比亚./r/n\n Mail permits network users to send textual messages to each other./r/n     电子邮件允许网络用户彼此传送文本消息。/r/n
12301	texture	n. (材料等的)结构,质地	 This kind of cloth has a close texture./r/n     这种布质地很紧密。/r/n\n The cake has a nice light texture./r/n     这蛋糕松软可口。/r/n
12302	Thai	n. 泰国人,泰国语	 It is Thais the whore who gave this answer to her lover when he asked: Am I very worthy of your thanks?Very, nay, incredibly so! "/r/n     她便是妓女塞绮斯，当她的情人间她“你十分感谢我吗？”的时候，她回答说：“哎呀，感谢极了。”/r/n"
12303	Thailand	n. 泰国	 My friend took a trip to Thailand./r/n     我的朋友去泰国旅行了一次。/r/n\n Thailand is on the west of Laos./r/n     泰国在老挝的西面。/r/n
12304	thalidomide	n. ［药］萨立多胺	
12305	thallium	n. 铊	
12306	Thames	n. 伦敦的泰晤士河	 The Thames rises in the Cotswold Hills./r/n     泰晤士河发源於科茨沃尔德丘陵./r/n\n The river Thames is spanned by many bridges./r/n     泰晤士河上有很多桥./r/n
12307	than	conj. 比<br>\nprep. 比(用于两者之间的比较)	 He has no friend other than you./r/n     他除你之外就没有别的朋友了。/r/n\n There are more than 5,000 adjectives in that dictionary./r/n     那本词典中有5000多个形容词。/r/n
12308	Thank goodness!	谢天谢地！	
12309	thankfulness	n. 感谢,感激	 Send you our everlasting feeling of gratefulness and thankfulness on this special day./r/n     在这特别的日子谨向您致以我们永恒的感激之情。/r/n\n At that moment my heart is full of joy and thankfulness./r/n     此时，我的心充满了欢乐与感激。/r/n
12310	thanks	int. 谢谢<br>\nn. 谢谢(只用复数)	 Thanks to the bad weather, the match had been cancelled./r/n     多亏这个倒霉天气，挺好的比赛取消了。/r/n\n Thanks for the warning./r/n     谢谢你的提醒。/r/n
12311	Thanks a lot	非常感谢。	
12312	Thanksgiving	n. 感恩节	 We invite her to have Thanksgiving dinner with us./r/n     我们邀请她和我们一起吃感恩节晚餐。/r/n\n Thanksgiving is a movable holiday./r/n     感恩节的日期每年不同。/r/n
12313	Thanksgiving Day	n. 感恩节(美国是11月的第四个星期四,加拿大是10月的第二个星期一)	
12314	that	pron. 那<br>\na. pron. 那,那个<br>\nconj. 引导宾语从句	 I reached the gate that opened onto the lake./r/n     我走到临湖而开的那扇门前。/r/n\n That pie tastes good./r/n     那个馅饼味道不错。/r/n
12315	thatch	n. 盖屋顶的材料,用草盖的屋顶,浓密的头发<br>\nv. 茸	
12316	thatcher	n. 盖屋顶者	
12317	thaumaturgist	n. 魔术师,奇术士	
12318	thaw	n. 融雪<br>\nv. 使融解,暖和	 Just give me a minute to thaw out in front of the fire, then we can talk./r/n     先让我烤烤火暖和一下，然后我们开始谈话。/r/n\n The ground has thawed out./r/n     地上的冰雪已经融化了。/r/n
12319	the	ad. [用于比较级,最高级前]<br>\nart. 这(那),这(那)些	 The more he has, the more he wants./r/n     他得到越多，想要的也越多。/r/n\n Turn to the left and you will find the post./r/n     向左转，你会找到邮局的。/r/n
12320	theater	n. 戏院,电影院,剧场	 Do you enjoy the theater?/r/n     你喜欢看戏吗？/r/n\n She is been in the theater all her life./r/n     她一辈子搞戏剧。/r/n
12321	theatre	n. 剧场,戏院	 She is been in the theatre all her life./r/n     她一辈子搞戏剧。/r/n\n There is a ban on smoking in the theatre./r/n     这剧院内禁止吸烟。/r/n
12322	theatrical	a. 剧场的,夸张的	 She works in a theatrical company./r/n     她在剧团工作。/r/n\n The expert is writing a theatrical review./r/n     专家正在写戏剧评论。/r/n
12323	theatricals	戏剧	 His success in amateur theatricals led him on to think he could tread the boards for a living./r/n     他业余演戏很成功，他因此觉得自己可以以演戏为生。/r/n\n The expert is writing a theatrical review./r/n     专家正在写戏剧评论。/r/n
12324	thee	int. 你	 The lord anointed thee King of Israel./r/n     (圣经)耶和华膏你作以色列的王。/r/n\n And Pharaoh said unto Joseph, I have set thee over all the land of Egypt./r/n     法老对约瑟夫说，我已任命你为全埃及的统治者。/r/n
12325	theft	n. 偷窃	 The building has been insured against fire and theft./r/n     这座大楼保了火险和失窃险。/r/n\n The defendant is accused of theft./r/n     被告被控偷窃。/r/n
12326	their	a. 他们的,它们的<br>\npron. 他(她,它)们的	 They washed their faces./r/n     他们洗了脸。/r/n\n We have no idea how the birds find their way./r/n     我们不知道这些鸟如何找到它们的路。/r/n
12327	theirs	pron. 他(她,它)们的	 It was his fault, not theirs./r/n     这是他的过错，不是他们的。/r/n\n Theirs are blue./r/n     他们的是蓝色的。/r/n
12328	theism	n. 一神论,有神论	
12329	them	pron. 他(她,它)们	 He offered them a new contract./r/n     他向他们提出一份新合同。/r/n\n This comedy has had them rolling in the aisles for two weeks./r/n     这出喜剧让观众们连续两个星期乐得前仰后合。/r/n
12330	thematic	a. 题目的,主题的,主旋律的	
12331	thematically	ad. 主题的	
12332	theme park	n. 主题公园	
12333	themselves	pron. 他(她,它)们自己	 They finished the work by themselves./r/n     他们自己完成了这项工作。/r/n\n The emancipation of women depends on themselves./r/n     妇女的解放依靠她们自己。/r/n
12334	then	ad. 那么<br>\n当时，然后，于是	 We lived in the country then./r/n     我们那时住在乡下。/r/n\n He took his hat and then left./r/n     他拿起帽子，随即离开了。/r/n
12335	then and there	当场,立即	
12336	thence	ad. 从那里,因此	 He hitched south towards Italy, and thence into France./r/n     他搭乘便车往南去意大利，然后从那里进入法国。/r/n\n They travelled by rail to the coast and thence by boat to America./r/n     他们乘火车到海岸, 再从那里乘船去美国./r/n
12337	theocracy	n. 神权政体,神政,神治国	
12338	theologian	n. 神学者	
12339	theological	a. 神学	 He is studying in the theological college./r/n     他在那所神学院学习。/r/n\n They are having a theological argument./r/n     他们正争论神学上的问题。/r/n
12340	theology	n. 神学	 He believes in theology./r/n     他信仰宗教。/r/n\n In the Middle Ages, philosophy and theology were inextricable./r/n     在中世纪, 哲学与神学是不分的./r/n
12341	theorem	n. 定理	
12342	theoretically	ad. 理论上	 Frankly speaking, Andy is more of an angler theoretically than practically./r/n     老实说，安迪是个理论胜於实际的垂钓者。/r/n
12343	theorist	n. 理论家	
12344	theorize	vt. 推理(建立理论,理论化)	
12345	theory	n. 理论	 It is so in theory./r/n     理论上是如此。/r/n\n Do you agree to the wave theory of light?/r/n     你同意光的波动理论吗？/r/n
12346	theosophy	n. 通神论,通神学	
12347	therapeutic	a. 治疗的	
12348	therapist	n. 临床医学家	 Launders,27, said she has spent most of the yearlike a basket case" despite seeing a therapist once a week./r/n     27岁的朗黛丝说，尽管她每周去理疗一次，她今年过的大半日子“像个四肢不全的废人。”/r/n"
12349	therapy	n. 疗法,治疗	 She was in therapy./r/n     她正在接受治疗。/r/n\n The local or general use of low temperatures in medical therapy./r/n     冷疗法一种在医疗中局部或全部使用低温的方法/r/n
12350	there	ad. 在那里	 There are numerous items to choose from./r/n     有许许多多可选择的项目。/r/n\n Here and there in the garden little flowers had grown up./r/n     花园里各处开着小黄花。/r/n
12351	thereby	ad. 因此,从而	 Thereby hangs a tale./r/n     其中必有文章。/r/n\n He became a citizen, thereby gaining the right to vote./r/n     他成为公民，并因此获得了选举权。/r/n
12352	therefor	ad. 所以(为此,因之,但)	 Your information is inaccurate and your conclusion is therefore wrong./r/n     你的信息不准确，所以你的结论是错误的。/r/n\n We have a growing population and therefore we need more food./r/n     我们的人口在增长，因此我们需要更多的食物。/r/n
12353	therefore	ad. 因此,所以	 Your information is inaccurate and your conclusion is therefore wrong./r/n     你的信息不准确，所以你的结论是错误的。/r/n\n We have a growing population and therefore we need more food./r/n     我们的人口在增长，因此我们需要更多的食物。/r/n
12354	therefrom	ad. 由此	 Failing this, they will be held responsible for all the consequences arising therefrom./r/n     要是做不到这一点，他们必须对由此产生的后果负责。/r/n\n Most Chinese think he will be therefrom unwelcome./r/n     大多数中国人认为他将从此不受欢迎。/r/n
12355	therein	ad. 在其中,在那里,在那一点上	 He is not a snob and therein lay his downfall./r/n     他不是个势利小人，而他失败的原因正在于此。/r/n\n Therein lies the crux of the matter./r/n     问题的关键就在那里./r/n
12356	thereof	ad. 关于...,将它,它的	
12357	thereon	ad. 关于那	
12358	thereto	ad. 到那里,另外	
12359	thereupon	ad. 因此,于是<br>\nconj. 因此,随即	 He thereupon asked her to marry him./r/n     他随即向她求婚。/r/n\n Russia thereupon declared war upon Turkey./r/n     俄国于是对土耳其宣战。/r/n
12360	therewith	ad. 随其,以其,于是	
12361	thermal	a. 热的,热量的<br>\nn. 上升的热气流	
12362	thermodynamics	n. 热力学	
12363	thermometer	n. 温度计	 The thermometer reads 27 degrees./r/n     温度计的读数是27度。/r/n\n The readings on my thermometer last month were well above the average./r/n     我的温度计上个月的读数远远超过平均温度。/r/n
12364	thermonuclear	a. 热核的	
12365	thermos	n. 热水瓶	 She poured hot water from the thermos./r/n     她从热水瓶倒出热水。/r/n
12366	thermoset	a. 热固性的(热凝成形的,加热成型后即硬化的)<br>\nn. 热凝(热固性,热变定法)	
12367	thermosetting	a. 热硬化性的	
12368	thermostat	n. 恒温器	 The thermostat is based on the fact that different metals have different coefficients of expansion./r/n     恒温器是以不同的金属有不同的膨胀系数这一事实为根据的。/r/n\n A high-temperature thermostat./r/n     高温恒温度，高温调节器/r/n
12369	thesaurus	n. 辞典,宝库,知识宝库	 A thesaurus is something like a dictionary./r/n     类语词典与普通词典相仿./r/n
12370	these	这些	 We have been working hard these days./r/n     这些天来，我们一直在努力工作。/r/n\n The meeting will deal with these problems./r/n     本次会议将就这些问题作出处理。/r/n
12371	thesis	n. 论文	 Developed her thesis in a series of articles./r/n     用一系列文章逐渐阐明她的论文/r/n\n Key decisions; the key element of the thesis./r/n     意义重大的结论；论文的中心成分/r/n
12372	thespian	a. 悲剧的,戏剧的,悲剧性的<br>\nn. 演员,悲剧演员	
12373	they	pron. 他们	 I have a dog and a cat, but they fight all the time./r/n     我养了一只猫和一只狗，但它们老是打架。/r/n\n They are going to move to a new house next week./r/n     下星期他们将迁入新居。/r/n
12374	thick	a. 厚的<br>\nad. 厚,浓,密	 He put on a thick sweater since it was cold in the morning./r/n     早晨很冷，他穿上了一件厚毛衣。/r/n\n Last winter the snow lay thick on the ground./r/n     去年冬天，地上积雪很厚。/r/n
12375	thicken	v. 变浓,使...厚,变为复杂	 The plot thickens./r/n     情节复杂起来了。/r/n\n It is coming in foggy; we had better get home before it thickens./r/n     现在开始起雾了，我们最好赶在雾浓前回家。/r/n
12376	thicket	n. 繁茂处,丛林,草丛	 The fox hid in the thicket where the dog could not reach it./r/n     狐狸躲在猎狗抓不到它的灌木丛中。/r/n\n A fox dart out of the midst of the thicket./r/n     一只狐狸从灌木丛中窜了出来。/r/n
12377	thickly	ad. 厚(浓,密,深)	 Spread the bread thickly with butter./r/n     把面包抹上厚厚的黄油吧。/r/n\n The trees branch thickly over the path./r/n     此树生枝极多，遮挡小路。/r/n
12378	thickness	n. 厚度,一层,含混不清	 The beam has a thickness of 3 inches./r/n     这根梁厚3英寸。/r/n\n As a result, nacre thickness is sometimes just a cosmetic layer that can wear thin over time./r/n     所以真珠质的厚度就像脸上化妆品，不久就会磨薄了。/r/n
12379	thick-skinned	a. 厚颜的	
12380	thief	n. 贼,小偷	 The thief was caught red-handed./r/n     小偷被当场抓住了。/r/n\n The thief was confined in a prison./r/n     窃贼被关押在监狱里。/r/n
12381	thieves	n. 小偷	 The police tracked the thieves to their den./r/n     警察跟踪小偷，直到他们的老窝。/r/n\n The police are on the scent of the thieves./r/n     警察发现了小偷的线索。/r/n
12382	thigh	n. 大腿	 I walked the last six miles in water up to my thighs./r/n     我在深及大腿的水中走完了最后6英里。/r/n\n The pain runs from the small of my back right down my left thigh, " he told the doctor./r/n     他告诉医生说："从后腰一直到左大腿都疼得很。"/r/n"
12383	thimble	n. 顶针,嵌环,套管,[计]转筒	 She put a thimble over the finger when sewing./r/n     缝纫时，她在手上戴一枚顶针。/r/n
12384	thing	n. 东西,事情	 Be calm and take things as they come./r/n     冷静点，既来之则安之吧。/r/n\n He is only interested in things and not people./r/n     他只对物而不对人感兴趣。/r/n
12385	thinker	n. 思想者	 He is a bold thinker, with lots of original ideas./r/n     他是个敢于思考的人，富有创新观点。/r/n\n That famous progressive thinker was asked to deliver a speech at the meeting./r/n     那位著名的进步思想家被邀请在会议上发表演讲。/r/n
12386	thinking	n. 思考,思想<br>\na. 思考的,有理性的<br>\nvbl. 想,思考	 What are you thinking about?/r/n     你在想什么?/r/n\n Thinking correctly is important./r/n     思考正确是重要的。/r/n
12387	thinly	ad. 薄,细,瘦	 Spread the butter thinly./r/n     薄薄涂一层黄油。/r/n\n A fine or thinly spun thread, fiber, or wire./r/n     细丝细小或薄的丝线、纤维或电线/r/n
12388	third	a. 第三(的)<br>\nn. 三分之一<br>\nnum. 第三	 He will come to see you on the third of April./r/n     他将于四月三日来看你。/r/n\n With this performance, she has notched up her third championship title./r/n     她因这一成绩而获得第三个冠军称号。/r/n
